,expt_id,Group,group_id,invRT,Trial,participant_id,response_correct,response_name,response_rt,stimuli_presented,trial_template,trial_duration,PartBlocks,AllBlocks,Pattern,trial_num,PB,Final,Part,Correct
1073,,DispreferenceFirst,dispreferenceFirst,-0.5488474204171241,,,,,1822,bugibe,,604901,,,Voicing,1096,b,NonFinal,,
1044,,DispreferenceFirst,dispreferenceFirst,-0.5920663114268798,,,,,1689,bikube,,539182,,,Voicing,1067,b,NonFinal,,
944,,DispreferenceFirst,dispreferenceFirst,-0.4982561036372696,,,,,2007,todupe,,328601,,,Devoicing,967,p,NonFinal,,
612,,DispreferenceFirst,dispreferenceFirst,-1.1111111111111112,,,,,900,gutop,,589863,,,Devoicing,635,p,Final,,
121,,DispreferenceFirst,dispreferenceFirst,-0.9363295880149812,,,,,1068,goteb,,265106,,,Voicing,144,b,Final,,
257,,DispreferenceFirst,dispreferenceFirst,-0.7401924500370096,,,,,1351,pidop,,493334,,,Devoicing,280,p,Final,,
543,,DispreferenceFirst,dispreferenceFirst,-0.5136106831022085,,,,,1947,bikube,,472375,,,Voicing,566,b,NonFinal,,
351,,DispreferenceFirst,dispreferenceFirst,-0.757002271006813,,,,,1321,potipe,,138747,,,Devoicing,374,p,NonFinal,,
332,,DispreferenceFirst,dispreferenceFirst,-0.5656108597285068,,,,,1768,bogepe,,111222,,,Devoicing,355,p,NonFinal,,
325,,DispreferenceFirst,dispreferenceFirst,-0.6609385327164574,,,,,1513,bikup,,609612,,,Devoicing,348,p,Final,,
119,,DispreferenceFirst,dispreferenceFirst,-0.6211180124223602,,,,,1610,pigepe,,262836,,,Devoicing,142,p,NonFinal,,
1117,,DispreferenceFirst,dispreferenceFirst,-0.5656108597285068,,,,,1768,gotep,,694874,,,Devoicing,1140,p,Final,,
347,,DispreferenceFirst,dispreferenceFirst,-0.7656967840735069,,,,,1306,tekupe,,133048,,,Devoicing,370,p,NonFinal,,
964,,DispreferenceFirst,dispreferenceFirst,-0.5027652086475616,,,,,1989,todupe,,366644,,,Devoicing,987,p,NonFinal,,
735,,DispreferenceFirst,dispreferenceFirst_inverse,-1.0615711252653928,,,,,942,bidob,,215654,,,Voicing,758,b,Final,,
1046,,DispreferenceFirst,dispreferenceFirst,-0.6653359946773121,,,,,1503,todube,,542552,,,Voicing,1069,b,NonFinal,,
409,,DispreferenceFirst,dispreferenceFirst,-0.8764241893076249,,,,,1141,dokupe,,244887,,,Devoicing,432,p,NonFinal,,
1061,,DispreferenceFirst,dispreferenceFirst,-0.7336757153338225,,,,,1363,degop,,577375,,,Devoicing,1084,p,Final,,
1070,,DispreferenceFirst,dispreferenceFirst,-0.44583147570218457,,,,,2243,gutop,,599001,,,Devoicing,1093,p,Final,,
81,,DispreferenceFirst,dispreferenceFirst,-0.9587727708533078,,,,,1043,potipe,,202037,,,Devoicing,104,p,NonFinal,,
957,,DispreferenceFirst,dispreferenceFirst,-0.2892681515765114,,,,,3457,bikupe,,353716,,,Devoicing,980,p,NonFinal,,
1032,,DispreferenceFirst,dispreferenceFirst,-0.585480093676815,,,,,1708,pidobe,,507179,,,Voicing,1055,b,NonFinal,,
1050,,DispreferenceFirst,dispreferenceFirst,-0.6361323155216285,,,,,1572,pigebe,,551140,,,Voicing,1073,b,NonFinal,,
370,,DispreferenceFirst,dispreferenceFirst,-1.0298661174047374,,,,,971,dikeb,,174610,,,Voicing,393,b,Final,,
